exp_id,method,map,rnd_seed,agent_id,agent_type,velocity,total_cost,distance,time,traversability,collision,safety,step_size,cost_scaling,lambda_good_trav,lambda_bad_trav,gamma_collision,d_05_collision,solver_seconds
1762775652345872600,maxSpan_hom,forest,42,1,AERIAL,1,26745,87.8322,87.8322,0,0.0906522,0.0906522,0.25,2,1e-05,0.05,10,0.01,120
1762775652345872600,maxSpan_hom,forest,42,2,GROUND,0.5,26323,85.7735,171.547,0.396649,0,0.396649,0.25,2,1e-05,0.05,10,0.01,120
1762775652345872600,maxSpan_het,forest,42,1,AERIAL,1,37664,127.955,127.955,0,0.00699341,0.00699341,0.25,2,1e-05,0.05,10,0.01,120
1762775652345872600,maxSpan_het,forest,42,2,GROUND,0.5,37014,57.2547,114.509,0.0727095,0,0.0727095,0.25,2,1e-05,0.05,10,0.01,120
1762775895746744844,maxSpan_hom,orchard,42,1,AERIAL,1,33574,85.1845,85.1845,0,0.407913,0.407913,0.5,2,1e-05,0.05,10,0.01,120
1762775895746744844,maxSpan_hom,orchard,42,2,GROUND,0.5,33525,84.7772,169.554,0.666922,0,0.666922,0.5,2,1e-05,0.05,10,0.01,120
1762775895746744844,maxSpan_het,orchard,42,1,AERIAL,1,52968,123.376,123.376,0,0.0868794,0.0868794,0.5,2,1e-05,0.05,10,0.01,120
1762775895746744844,maxSpan_het,orchard,42,2,GROUND,0.5,53270,64.3584,128.717,0.00064832,0,0.00064832,0.5,2,1e-05,0.05,10,0.01,120
1762776139291104244,maxSpan_hom,park,42,1,AERIAL,1,26208,155.434,155.434,0,0.259545,0.259545,1.5,2,1e-05,0.05,10,0.01,120
1762776139291104244,maxSpan_hom,park,42,2,GROUND,0.5,25964,151.303,302.605,0.911614,0,0.911614,1.5,2,1e-05,0.05,10,0.01,120
1762776139291104244,maxSpan_het,park,42,1,AERIAL,1,40291,230.428,230.428,0,0.0433811,0.0433811,1.5,2,1e-05,0.05,10,0.01,120
1762776139291104244,maxSpan_het,park,42,2,GROUND,0.5,39012,106.829,213.658,0.0961243,0,0.0961243,1.5,2,1e-05,0.05,10,0.01,120
1762776382751175032,maxSpan_hom,cave,42,1,AERIAL,1,32042,1376.98,1376.98,0,0.355626,0.355626,3,2,1e-05,0.05,10,0.01,120
1762776382751175032,maxSpan_hom,cave,42,2,GROUND,0.5,32042,1387.21,2774.42,0.99783,0,0.99783,3,2,1e-05,0.05,10,0.01,120
1762776382751175032,maxSpan_het,cave,42,1,AERIAL,1,46380,1960.16,1960.16,0,0.0412705,0.0412705,3,2,1e-05,0.05,10,0.01,120
